cluster	n_inversions	n_pairs	chromosomes	max_span_bp	genome_in_every_pair	any_at_least_large_span	pairs	members
247	1	1	chr3	196050		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:110854934-111050985
248	1	1	chr3	348842		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:111969807-112318649
249	1	1	chr3	621935		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:112327224-112949160
250	1	1	chr3	335358		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:123154744-123490102
251	1	1	chr3	246543		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:142017487-142264030
252	1	1	chr3	137876		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:146095033-146232909
253	2	2	chr3	548194	Cx_molestus	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:146271367-146606944;Cx_molestus_vs_Cx_pipiens:CM044970.1:160907033-161455228
254	1	1	chr3	635147		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:147109784-147744931
255	1	1	chr3	103962		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:164480453-164584415
256	1	1	chr3	251088		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068939.1:172001552-172252640
257	1	1	chr1	453800		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:168571-622371
258	1	1	chr1	163315		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:23254476-23417791
259	1	1	chr1	125039		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:47203772-47328811
260	1	1	chr1	505394		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:56313685-56819079
261	1	1	chr1	235330		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:59719994-59955325
262	2	2	chr1	1170728	Cx_pallens	True	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_molestus:NC_068937.1:62365834-63417956;Cx_pallens_vs_Cx_pipiens:NC_068937.1:62247227-63417956
263	1	1	chr1	730486		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:64326864-65057350
264	1	1	chr1	374208		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:66621874-66996082
265	1	1	chr1	396003		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:67566465-67962468
266	1	1	chr1	1624597		True	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:70292614-71917211
267	1	1	chr1	432918		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:72434750-72867668
268	1	1	chr1	1302453		True	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:72944594-74247047
269	1	1	chr1	338628		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:74354750-74693378
270	1	1	chr1	302221		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:75972244-76274465
271	1	1	chr1	650285		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:77833055-78483340
272	1	1	chr1	517705		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:80729285-81246990
273	1	1	chr1	465467		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:81709953-82175420
274	1	1	chr1	172488		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:82441267-82613756
275	1	1	chr1	567101		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:82659365-83226467
276	1	1	chr1	591068		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:89672619-90263687
277	1	1	chr1	431313		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:91091262-91522575
278	2	2	chr1	487145	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_molestus:NC_068937.1:101958397-102322770;Cx_pallens_vs_Cx_pipiens:NC_068937.1:101958397-102445542
279	2	2	chr1	735416	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_molestus:NC_068937.1:102462119-103197536;Cx_pallens_vs_Cx_pipiens:NC_068937.1:102614825-103132225
280	2	2	chr1	251092	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_molestus:NC_068937.1:103347764-103598856;Cx_pallens_vs_Cx_pipiens:NC_068937.1:103347764-103598856
281	1	1	chr1	407064		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:104324955-104732019
282	1	1	chr1	302966		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:107464996-107767962
283	2	2	chr1	527588	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_molestus:NC_068937.1:108141570-108669158;Cx_pallens_vs_Cx_pipiens:NC_068937.1:108141570-108669158
284	2	2	chr1	372442	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_molestus:NC_068937.1:108935642-109308084;Cx_pallens_vs_Cx_pipiens:NC_068937.1:108967487-109285766
285	2	2	chr1	235308	Cx_pallens	False	Cx_pallens_vs_Cx_molestus;Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_molestus:NC_068937.1:109384768-109548463;Cx_pallens_vs_Cx_pipiens:NC_068937.1:109301174-109536482
286	1	1	chr1	158680		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:109597941-109756622
287	1	1	chr1	816490		False	Cx_pallens_vs_Cx_molestus	Cx_pallens_vs_Cx_molestus:NC_068937.1:113435642-114252132
288	1	1	chr2	267566		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068938.1:13671326-13938893
289	1	1	chr2	141090		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068938.1:26574305-26715395
290	1	1	chr2	111427		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068938.1:35623162-35734589
291	1	1	chr2	144904		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068938.1:48153985-48298890
292	1	1	chr2	311218		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068938.1:57611359-57922577
293	1	1	chr2	157230		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068938.1:78261661-78418891
294	1	1	chr2	481549		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068938.1:115245985-115727534
295	1	1	chr2	277863		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068938.1:116622573-116900437
296	1	1	chr2	230110		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068938.1:124951298-125181409
297	1	1	chr2	420379		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068938.1:145081008-145501387
298	1	1	chr2	208858		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068938.1:153616750-153825608
299	1	1	chr3	534675		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068939.1:25465033-25999708
300	1	1	chr3	191048		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068939.1:91041023-91232071
301	1	1	chr3	545632		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068939.1:95725954-96271586
302	1	1	chr3	423225		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068939.1:116323109-116746335
303	1	1	chr3	104088		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068939.1:130252702-130356791
304	1	1	chr1	213340		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:63909989-64123329
305	1	1	chr1	353385		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:64146056-64499442
306	1	1	chr1	174730		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:65331460-65506190
307	1	1	chr1	392091		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:66399290-66791381
308	1	1	chr1	187556		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:66816818-67004374
309	1	1	chr1	1105336		True	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:67093819-68199155
310	1	1	chr1	186626		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:69154393-69341019
311	1	1	chr1	776001		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:71309989-72085990
312	1	1	chr1	267694		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:76929016-77196710
313	1	1	chr1	184711		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:78256678-78441389
314	1	1	chr1	110571		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:80687568-80798139
315	1	1	chr1	156511		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:81266963-81423474
316	1	1	chr1	221906		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:81643477-81865383
317	1	1	chr1	144479		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:81876319-82020798
318	1	1	chr1	165490		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:82116028-82281519
319	1	1	chr1	244958		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:89482717-89727675
320	1	1	chr1	932440		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:90825712-91758152
321	1	1	chr1	122450		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:102462119-102584570
322	1	1	chr1	248956		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:105826087-106075043
323	1	1	chr1	294079		False	Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:110323423-110617502
324	2	2	chr1	503633	Cx_pipiens	False	Cx_molestus_vs_Cx_pipiens;Cx_pallens_vs_Cx_pipiens	Cx_pallens_vs_Cx_pipiens:NC_068937.1:127216479-127436157;Cx_molestus_vs_Cx_pipiens:CM044968.1:13293022-13796655
325	1	1	chr2	239043		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:18241197-18480241
326	1	1	chr2	473629		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:23710733-24184362
327	1	1	chr2	192407		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:45238957-45431364
328	1	1	chr2	196100		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:45470063-45666163
329	1	1	chr2	129968		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:45755168-45885136
330	1	1	chr2	160859		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:48611584-48772443
331	1	1	chr2	158774		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:48777027-48935801
332	1	1	chr2	221973		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:73301110-73523083
333	1	1	chr2	531330		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:95757507-96288837
334	1	1	chr2	159195		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:98687949-98847145
335	1	1	chr2	111600		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:101706722-101818323
336	1	1	chr2	101875		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:102387473-102489349
337	1	1	chr2	513794		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:127288859-127802654
338	1	1	chr2	113044		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:138384141-138497185
339	1	1	chr2	126333		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:145927530-146053864
340	1	1	chr2	384129		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:152769571-153153700
341	1	1	chr2	142898		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:184303475-184446373
342	1	1	chr2	234776		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:184932995-185167772
343	1	1	chr2	220343		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:186462960-186683303
344	1	1	chr2	140962		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:194301618-194442581
345	1	1	chr2	152231		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:206872080-207024311
346	1	1	chr2	217516		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044969.1:207773632-207991148
347	1	1	chr3	257533		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:31946078-32203611
348	1	1	chr3	308691		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:38374819-38683511
349	1	1	chr3	249781		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:50839054-51088835
350	1	1	chr3	277496		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:52055688-52333184
351	1	1	chr3	192699		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:52843175-53035874
352	1	1	chr3	133154		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:80887754-81020909
353	1	1	chr3	555928		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:99201533-99757461
354	1	1	chr3	278197		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:100774637-101052835
355	1	1	chr3	336731		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:101470235-101806966
356	1	1	chr3	256481		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:103952098-104208579
357	1	1	chr3	1272932		True	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:104411069-105684001
358	1	1	chr3	152078		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:106467435-106619514
359	1	1	chr3	197702		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:106981147-107178850
360	1	1	chr3	103410		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:107467497-107570907
361	1	1	chr3	118038		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:107754613-107872652
362	1	1	chr3	182606		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:108065121-108247727
363	1	1	chr3	156629		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:109469619-109626248
364	1	1	chr3	654511		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:110490353-111144864
365	1	1	chr3	217649		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:114264669-114482318
366	1	1	chr3	158029		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:115042569-115200599
367	1	1	chr3	187426		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:116282468-116469894
368	1	1	chr3	220942		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:117132967-117353909
369	1	1	chr3	120983		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:120109497-120230480
370	1	1	chr3	233753		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:127417740-127651493
371	1	1	chr3	207299		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:152571411-152778710
372	1	1	chr3	147282		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:153329489-153476772
373	1	1	chr3	124625		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:155179664-155304290
374	1	1	chr3	123888		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:159081465-159205354
375	1	1	chr3	121278		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:167065408-167186686
376	1	1	chr3	179625		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:168771274-168950899
377	1	1	chr3	176668		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044970.1:200411807-200588476
378	1	1	chr1	516236		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044968.1:882853-1399089
379	1	1	chr1	411144		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044968.1:28750595-29161739
380	1	1	chr1	369871		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044968.1:37149383-37519254
381	1	1	chr1	261000		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044968.1:43905413-44166413
382	1	1	chr1	318917		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044968.1:47012545-47331462
383	1	1	chr1	269442		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044968.1:49223714-49493156
384	1	1	chr1	229315		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044968.1:50520132-50749447
385	1	1	chr1	101345		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044968.1:51912323-52013669
386	1	1	chr1	324886		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044968.1:56897172-57222059
387	1	1	chr1	155646		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044968.1:57576667-57732313
388	1	1	chr1	136978		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044968.1:61777761-61914740
389	1	1	chr1	108466		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044968.1:71501912-71610378
390	1	1	chr1	489814		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044968.1:74638556-75128371
391	1	1	chr1	123741		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044968.1:98870366-98994107
392	1	1	chr1	259789		False	Cx_molestus_vs_Cx_pipiens	Cx_molestus_vs_Cx_pipiens:CM044968.1:110087582-110347372
